,precision,recall,f1-score,support
0,0.2222222222222222,0.1111111111111111,0.14814814814814814,18.0
1,0.25,0.10256410256410256,0.14545454545454548,39.0
2,0.09523809523809523,0.12631578947368421,0.10859728506787329,95.0
3,0.0,0.0,0.0,32.0
4,0.8077922077922078,0.8120104438642297,0.8098958333333333,766.0
5,0.0,0.0,0.0,13.0
micro avg,0.6645898234683282,0.6645898234683282,0.6645898234683282,963.0
macro avg,0.2292087542087542,0.1920002411688546,0.20201596866731672,963.0
weighted avg,0.6662164592071134,0.6645898234683282,0.6635891426315422,963.0
samples avg,0.6645898234683282,0.6645898234683282,0.6645898234683282,963.0
