,precision,recall,f1-score,support
0,0.36363636363636365,0.18181818181818182,0.24242424242424246,22.0
1,0.5510204081632653,0.421875,0.4778761061946903,64.0
2,0.2087912087912088,0.2261904761904762,0.21714285714285714,84.0
3,0.10869565217391304,0.10204081632653061,0.10526315789473685,49.0
4,0.8081321473951716,0.8491321762349799,0.8281249999999999,749.0
5,0.5,0.16666666666666666,0.25,24.0
micro avg,0.7006048387096774,0.7006048387096774,0.7006048387096774,992.0
macro avg,0.42337929669332036,0.3246205528728059,0.3534718939427544,992.0
weighted avg,0.6889322913471932,0.7006048387096774,0.6911098022849148,992.0
samples avg,0.7006048387096774,0.7006048387096774,0.7006048387096774,992.0
